country,level1,level2,level3,week,year,n_cases,population
Argentina,Ciudad Autonoma de Buenos Aires,Comuna 10,207001,1,2025,8,6651
Argentina,Ciudad Autonoma de Buenos Aires,Comuna 10,207002,1,2025,8,7094
Argentina,Ciudad Autonoma de Buenos Aires,Comuna 10,207003,1,2025,4,6682
Argentina,Ciudad Autonoma de Buenos Aires,Comuna 10,207004,1,2025,10,9342
Argentina,Ciudad Autonoma de Buenos Aires,Comuna 10,207005,1,2025,13,11787
Argentina,Ciudad Autonoma de Buenos Aires,Comuna 10,207006,1,2025,10,12408
Argentina,Ciudad Autonoma de Buenos Aires,Comuna 10,207007,1,2025,12,11630
Argentina,Ciudad Autonoma de Buenos Aires,Comuna 10,207008,1,2025,9,9038
Argentina,Ciudad Autonoma de Buenos Aires,Comuna 10,207009,1,2025,8,8752
Argentina,Ciudad Autonoma de Buenos Aires,Comuna 10,207010,1,2025,8,10398
Argentina,Ciudad Autonoma de Buenos Aires,Comuna 10,207011,1,2025,7,8554
Argentina,Ciudad Autonoma de Buenos Aires,Comuna 10,207012,1,2025,8,6677
Argentina,Ciudad Autonoma de Buenos Aires,Comuna 10,207013,1,2025,3,8285
Argentina,Ciudad Autonoma de Buenos Aires,Comuna 10,207014,1,2025,17,9092
Argentina,Ciudad Autonoma de Buenos Aires,Comuna 10,207015,1,2025,5,7248
Argentina,Ciudad Autonoma de Buenos Aires,Comuna 10,207016,1,2025,7,8724
Argentina,Ciudad Autonoma de Buenos Aires,Comuna 10,207017,1,2025,9,9635
Argentina,Ciudad Autonoma de Buenos Aires,Comuna 10,207018,1,2025,7,8682
Argentina,Ciudad Autonoma de Buenos Aires,Comuna 10,207019,1,2025,13,11217
Argentina,Ciudad Autonoma de Buenos Aires,Comuna 11,207701,1,2025,10,11069
Argentina,Ciudad Autonoma de Buenos Aires,Comuna 11,207702,1,2025,18,10205
Argentina,Ciudad Autonoma de Buenos Aires,Comuna 11,207703,1,2025,6,9103
Argentina,Ciudad Autonoma de Buenos Aires,Comuna 11,207704,1,2025,12,10387
Argentina,Ciudad Autonoma de Buenos Aires,Comuna 11,207705,1,2025,7,7955
Argentina,Ciudad Autonoma de Buenos Aires,Comuna 11,207706,1,2025,11,11455
Argentina,Ciudad Autonoma de Buenos Aires,Comuna 11,207707,1,2025,9,11428
Argentina,Ciudad Autonoma de Buenos Aires,Comuna 11,207708,1,2025,3,8072
Argentina,Ciudad Autonoma de Buenos Aires,Comuna 11,207709,1,2025,9,9257
Argentina,Ciudad Autonoma de Buenos Aires,Comuna 11,207710,1,2025,9,11259
Argentina,Ciudad Autonoma de Buenos Aires,Comuna 11,207711,1,2025,5,8065
Argentina,Ciudad Autonoma de Buenos Aires,Comuna 11,207712,1,2025,9,8059
Argentina,Ciudad Autonoma de Buenos Aires,Comuna 11,207713,1,2025,11,9254
Argentina,Ciudad Autonoma de Buenos Aires,Comuna 11,207714,1,2025,10,7270
Argentina,Ciudad Autonoma de Buenos Aires,Comuna 11,207715,1,2025,13,10022
Argentina,Ciudad Autonoma de Buenos Aires,Comuna 11,207716,1,2025,7,9462
Argentina,Ciudad Autonoma de Buenos Aires,Comuna 11,207717,1,2025,10,6323
Argentina,Ciudad Autonoma de Buenos Aires,Comuna 11,207718,1,2025,9,9010
Argentina,Ciudad Autonoma de Buenos Aires,Comuna 11,207719,1,2025,6,7194
Argentina,Ciudad Autonoma de Buenos Aires,Comuna 11,207720,1,2025,5,9079
Argentina,Ciudad Autonoma de Buenos Aires,Comuna 11,207721,1,2025,8,9075
Argentina,Ciudad Autonoma de Buenos Aires,Comuna 11,207722,1,2025,6,8902
Argentina,Ciudad Autonoma de Buenos Aires,Comuna 12,208401,1,2025,7,9341
Argentina,Ciudad Autonoma de Buenos Aires,Comuna 12,208402,1,2025,8,8793
Argentina,Ciudad Autonoma de Buenos Aires,Comuna 12,208403,1,2025,7,9271
Argentina,Ciudad Autonoma de Buenos Aires,Comuna 12,208404,1,2025,6,8702
Argentina,Ciudad Autonoma de Buenos Aires,Comuna 12,208405,1,2025,8,8415
Argentina,Ciudad Autonoma de Buenos Aires,Comuna 12,208406,1,2025,10,9143
Argentina,Ciudad Autonoma de Buenos Aires,Comuna 12,208407,1,2025,15,10293
Argentina,Ciudad Autonoma de Buenos Aires,Comuna 12,208408,1,2025,11,10510
Argentina,Ciudad Autonoma de Buenos Aires,Comuna 12,208409,1,2025,12,8365
Argentina,Ciudad Autonoma de Buenos Aires,Comuna 12,208410,1,2025,13,11926
Argentina,Ciudad Autonoma de Buenos Aires,Comuna 12,208411,1,2025,13,10276
Argentina,Ciudad Autonoma de Buenos Aires,Comuna 12,208412,1,2025,8,8291
Argentina,Ciudad Autonoma de Buenos Aires,Comuna 12,208413,1,2025,9,9891
Argentina,Ciudad Autonoma de Buenos Aires,Comuna 12,208414,1,2025,15,12202
Argentina,Ciudad Autonoma de Buenos Aires,Comuna 12,208415,1,2025,8,13785
Argentina,Ciudad Autonoma de Buenos Aires,Comuna 12,208416,1,2025,13,16395
Argentina,Ciudad Autonoma de Buenos Aires,Comuna 12,208417,1,2025,13,9935
Argentina,Ciudad Autonoma de Buenos Aires,Comuna 12,208418,1,2025,10,13227
Argentina,Ciudad Autonoma de Buenos Aires,Comuna 12,208419,1,2025,16,12268
Argentina,Ciudad Autonoma de Buenos Aires,Comuna 12,208420,1,2025,7,9926
Argentina,Ciudad Autonoma de Buenos Aires,Comuna 12,208421,1,2025,13,11426
Argentina,Ciudad Autonoma de Buenos Aires,Comuna 12,208422,1,2025,10,12983
